epoch,accuracy,loss,val_accuracy,val_loss
0,0.36636635661125183,1.6937934160232544,0.28735631704330444,1.2567979097366333
1,0.6696696877479553,0.9810983538627625,0.6321839094161987,0.9002650380134583
2,0.8738738894462585,0.43035224080085754,0.5747126340866089,1.0722627639770508
3,0.9579579830169678,0.21092364192008972,0.6896551847457886,0.7647351026535034
4,0.9789789915084839,0.08680106699466705,0.6551724076271057,0.767752468585968
5,0.9879879951477051,0.062226612120866776,0.7586206793785095,0.601055920124054
6,0.9909909963607788,0.04541057348251343,0.7356321811676025,0.6691473126411438
7,0.9939939975738525,0.03712669387459755,0.7816091775894165,0.5627221465110779
8,0.9939939975738525,0.023928582668304443,0.7931034564971924,0.5515113472938538
9,0.9939939975738525,0.019125960767269135,0.7356321811676025,0.6609387993812561
10,0.9909909963607788,0.021638691425323486,0.8505747318267822,0.5124802589416504
11,0.9969969987869263,0.01896606758236885,0.7241379022598267,0.6590898633003235
12,0.9879879951477051,0.033634886145591736,0.8390804529190063,0.6417660117149353
13,0.9909909963607788,0.02138163521885872,0.6781609058380127,0.6712177395820618
