epoch,accuracy,loss,val_accuracy,val_loss
0,0.6876876950263977,0.7599165439605713,0.6551724076271057,0.9615340828895569
1,0.9459459185600281,0.19419732689857483,0.7816091775894165,0.4678564965724945
2,0.9819819927215576,0.08545383810997009,0.7011494040489197,0.5937590003013611
3,0.9879879951477051,0.05766300857067108,0.7701149582862854,0.44021254777908325
4,0.9969969987869263,0.02634706348180771,0.8275862336158752,0.3643452525138855
5,0.9939939975738525,0.017168566584587097,0.8620689511299133,0.37193018198013306
6,1.0,0.012360373511910439,0.8390804529190063,0.36135154962539673
7,1.0,0.007931548170745373,0.8160919547080994,0.43847164511680603
8,0.9969969987869263,0.01243619341403246,0.8160919547080994,0.4281083941459656
9,0.9969969987869263,0.008918695151805878,0.9080459475517273,0.26908430457115173
10,1.0,0.010819227434694767,0.8045976758003235,0.46445131301879883
11,1.0,0.006098161451518536,0.8045976758003235,0.4291848838329315
12,0.9969969987869263,0.008114110678434372,0.8620689511299133,0.30596014857292175
